Date|Temperature|Light Intensity
10.18.20|7|3
06.04.22|2|6
01.20.22|8|8
06.19.21|7|4
11.14.21|9|10
08.07.20|10|7
06.24.21|5|5
11.01.20|8|8
05.21.22|3|7
06.03.22|10|4
05.28.22|8|9
11.26.20|4|2
03.23.22|8|3
12.02.20|9|10
02.24.22|10|9
02.27.22|7|9
12.03.20|7|7
06.13.20|10|9
05.01.22|10|6
08.10.21|6|2
08.08.20|6|1
12.12.20|5|3
07.24.20|9|10
01.26.21|4|6
12.12.21|2|5
05.03.21|9|6
03.28.22|8|5
12.09.21|7|9
09.30.21|2|2
11.06.20|10|3
11.14.21|5|2
01.28.21|7|3
06.25.21|1|4
03.15.22|2|1
05.15.22|4|9
03.24.22|4|7
01.13.22|9|2
04.05.21|4|9
10.09.21|10|5
10.19.20|1|7
09.14.21|2|2
06.29.20|4|1
06.22.20|8|6
05.22.21|4|8
01.05.21|8|2
10.04.21|1|6
02.13.21|8|8
06.03.21|9|7
10.03.20|10|8
03.31.22|9|7
09.28.21|10|8
11.21.21|5|3
07.17.21|4|4
06.25.21|6|5
03.13.21|5|4
11.25.21|6|9
09.25.20|4|1
09.09.20|2|10
01.09.21|3|4
05.21.21|1|10
10.31.21|1|4
05.18.22|9|7
04.05.21|5|6
08.07.21|2|8
02.09.21|6|6
11.30.21|9|6
05.03.21|8|1
10.04.21|5|7
08.17.20|5|1
06.28.21|4|5
09.22.21|4|2
05.23.22|7|6
11.04.20|5|10
06.22.21|1|9
03.14.22|3|2
12.20.21|5|8
08.01.21|3|2
02.06.22|7|2
03.17.21|6|7
05.19.22|4|4
02.18.22|4|9
08.09.20|4|3
05.07.22|2|5
10.03.21|3|9
10.05.20|9|2
12.25.21|5|1
09.20.20|10|3
07.23.20|1|1
01.16.21|1|1
05.02.22|8|1
06.17.20|10|4
06.02.22|6|10
04.25.21|5|9
02.20.22|7|1
08.26.21|8|2
06.06.21|4|7
01.07.22|1|7
05.09.21|3|3
01.07.21|2|2
10.03.20|9|1